task_id	hash	native_id	process	tag	name	status	exit	module	container	cpus	time	disk	memory	attempt	submit	start	complete	duration	realtime	queue	%cpu	%mem	rss	vmem	peak_rss	peak_vmem	rchar	wchar	syscr	syscw	read_bytes	write_bytes
1	c8/aa9fe2	18040	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:GENERATE_BACKBONE_TREE	backbone_tree	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:GENERATE_BACKBONE_TREE (backbone_tree)	COMPLETED	0	-	-	1	4h	-	6 GB	1	2025-06-22 18:59:48.873	2025-06-22 18:59:48.926	2025-06-22 18:59:49.054	181ms	1s	-	-	-	-	-	-	-	-	-	-	-	-	-
2	38/f625f6	18086	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:GenerateAnalysisMetadata	-	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:GenerateAnalysisMetadata	COMPLETED	0	-	-	1	4h	-	6 GB	1	2025-06-22 18:59:49.059	2025-06-22 18:59:49.091	2025-06-22 18:59:49.091	32ms	0ms	-	-	-	-	-	-	-	-	-	-	-	-	-
3	ab/e2bf78	18039	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:SlidingWindow	-	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:SlidingWindow	COMPLETED	0	-	quay.io/biocontainers/biopython:1.81--py311h1db85ab_0	1	4h	-	6 GB	1	2025-06-22 18:59:48.868	2025-06-22 18:59:48.924	2025-06-22 18:59:49.197	329ms	1s	-	-	-	-	-	-	-	-	-	-	-	-	-
13	c0/75fad0	18138	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:IQTREE2	-	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:IQTREE2 (10)	COMPLETED	0	-	quay.io/biocontainers/iqtree:2.2.6--h21ec9f0_0	4	4h	-	6 GB	1	2025-06-22 18:59:49.232	2025-06-22 18:59:49.298	2025-06-22 19:00:12.393	23.2s	23s	-	-	-	-	-	-	-	-	-	-	-	-	-
9	e6/fe8fdd	18149	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:IQTREE2	-	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:IQTREE2 (6)	COMPLETED	0	-	quay.io/biocontainers/iqtree:2.2.6--h21ec9f0_0	4	4h	-	6 GB	1	2025-06-22 18:59:49.247	2025-06-22 18:59:49.299	2025-06-22 19:00:16.063	26.8s	27s	-	-	-	-	-	-	-	-	-	-	-	-	-
14	27/433825	18421	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:IQTREE2	-	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:IQTREE2 (11)	COMPLETED	0	-	quay.io/biocontainers/iqtree:2.2.6--h21ec9f0_0	4	4h	-	6 GB	1	2025-06-22 19:00:16.069	2025-06-22 19:00:16.168	2025-06-22 19:00:39.951	23.9s	23s	-	-	-	-	-	-	-	-	-	-	-	-	-
10	3d/60bc78	18373	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:IQTREE2	-	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:IQTREE2 (7)	COMPLETED	0	-	quay.io/biocontainers/iqtree:2.2.6--h21ec9f0_0	4	4h	-	6 GB	1	2025-06-22 19:00:12.406	2025-06-22 19:00:12.494	2025-06-22 19:00:40.941	28.5s	28s	-	-	-	-	-	-	-	-	-	-	-	-	-
5	06/f5a807	18607	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:IQTREE2	-	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:IQTREE2 (2)	COMPLETED	0	-	quay.io/biocontainers/iqtree:2.2.6--h21ec9f0_0	4	4h	-	6 GB	1	2025-06-22 19:00:39.955	2025-06-22 19:00:40.057	2025-06-22 19:01:03.721	23.8s	24s	-	-	-	-	-	-	-	-	-	-	-	-	-
6	26/cddb62	18641	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:IQTREE2	-	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:IQTREE2 (3)	COMPLETED	0	-	quay.io/biocontainers/iqtree:2.2.6--h21ec9f0_0	4	4h	-	6 GB	1	2025-06-22 19:00:40.944	2025-06-22 19:00:41.046	2025-06-22 19:01:05.105	24.2s	25s	-	-	-	-	-	-	-	-	-	-	-	-	-
8	e5/d94364	18837	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:IQTREE2	-	AutomatedWindowSlidingWorkflow:AutomatedWindowSliding:IQTREE2 (5)	COMPLETED	0	-	quay.io/biocontainers/iqtree:2.2.6--h21ec9f0_0	4	4h	-	6 GB	1	2025-06-22 19:01:03.733	2025-06-22 19:01:03.825	2025-06-22 19:01:26.941	23.2s	23s	-	-	-	-	-	-	-	-	-	-	-	-	-
