Accession_Number	Genogroup
KR074148.1	GII.P7-GII.6
KR074150.1	GII.P7-GII.6
KR074151.1	GII.Pe-GII.17
KR074152.1	GII.Pe-GII.17
KR074155.1	GII.P2-GII.2
KR074156.1	GII.P7-GII.6
KR074157.1	GII.P7-GII.6
KR074158.1	GII.P7-GII.6
KR074160.1	GII.P7-GII.6
KR074161.1	GII.Pg-GII.12
KR074162.1	GII.Pg-GII.12
KR074163.1	GII.P16-GII.3
KR074164.1	GII.P16-GII.3
KR074165.1	GII.P4-GII.4
KR074166.1	GII.P4-GII.4
KR074167.1	GII.P4-GII.4
KR074168.1	GII.P4-GII.4
KR074169.1	GII.P4-GII.4
KR074170.1	GII.P7-GII.6
KR074171.1	GII.P2-GII.2
KR074172.1	GII.P7-GII.6
KR074173.1	GII.P7-GII.6
KR074174.1	GII.P21-GII.13
KR074175.1	GII.P4-GII.4
KR074176.1	GII.P4-GII.4
KR074177.1	GII.P7-GII.6
KR074178.1	GII.P7-GII.6
KR074179.1	GII.P16-GII.3
KR074180.1	GII.P4-GII.4
KR074181.1	GII.P16-GII.3
KR074182.1	GII.P4-GII.4
KR074183.1	GII.P21-GII.13
KR074184.1	GII.P7-GII.6
KR074185.1	GII.Pg-GII.12
KR074188.1	GII.P15-GII.15
KR074189.1	GII.P15-GII.15
KR074190.1	GII.Pg-GII.12
KR074191.1	GII.Pg-GII.12
