Sequence Gap Analysis
==================================================
Sequence_ID	Gap_Count	Gap_Percentage
KR074148.1	1343	72.32
KR074149.1	1343	72.32
KR074150.1	1343	72.32
KR074151.1	1343	72.32
KR074152.1	1343	72.32
KR074153.1	1343	72.32
KR074154.1	1343	72.32
KR074155.1	1343	72.32
KR074156.1	1343	72.32
KR074157.1	1343	72.32
KR074158.1	1343	72.32
KR074159.1	1343	72.32
KR074160.1	1343	72.32
KR074161.1	1343	72.32
KR074162.1	1343	72.32
KR074163.1	1343	72.32
KR074164.1	1343	72.32
KR074165.1	1343	72.32
KR074166.1	1343	72.32
KR074167.1	1343	72.32
KR074168.1	1343	72.32
KR074169.1	1343	72.32
KR074170.1	1343	72.32
KR074171.1	1343	72.32
KR074172.1	1343	72.32
KR074173.1	1343	72.32
KR074174.1	1343	72.32
KR074175.1	1343	72.32
KR074176.1	1343	72.32
KR074177.1	1343	72.32
KR074178.1	1343	72.32
KR074179.1	1343	72.32
KR074180.1	1343	72.32
KR074181.1	1343	72.32
KR074182.1	1343	72.32
KR074183.1	1343	72.32
KR074184.1	1378	74.21
KR074185.1	1378	74.21
KR074186.1	1420	76.47
KR074187.1	1420	76.47
KR074188.1	1340	72.16
KR074189.1	1340	72.16
KR074190.1	1347	72.54
KR074191.1	1365	73.51
KY451971.1	1370	73.77
KY451972.1	1370	73.77
KY451973.1	1370	73.77
KY451974.1	1370	73.77
KY451975.1	1370	73.77
KY451976.1	1370	73.77
KY451977.1	1370	73.77
KY451978.1	1370	73.77
KY451979.1	1370	73.77
KY451980.1	1370	73.77
KY451981.1	1370	73.77
KY451982.1	1370	73.77
KY451983.1	1370	73.77
KY451984.1	1370	73.77
KY451985.1	1370	73.77
KY451986.1	1370	73.77
KY451987.1	1370	73.77
KY551568.1	1255	67.58
KY551569.1	1253	67.47
MF158177.1	1362	73.34
MF158178.1	1362	73.34
MF158179.1	1362	73.34
MF158180.1	1362	73.34
MF158181.1	1362	73.34
MF158182.1	1362	73.34
MF158183.1	1362	73.34
MF158184.1	1362	73.34
MF158185.1	1362	73.34
MF158186.1	1362	73.34
MF158187.1	1362	73.34
MF158188.1	1362	73.34
MF158189.1	1362	73.34
MF158190.1	1362	73.34
